(P8A.0) - (RESUM) PERCENTATGE D’ENTREVISTATS QUE HAN VALORAT LA GESTIÓ MUNICIPAL EN ELS SEGÜENTS ASPECTES;BICING;47,6 54,0 48,5 56,8 47,7 44,5 36,4 50,9 45,7 39,3 48,6
(P8A1) - (RESUM) PERCENTATGE D’ENTREVISTATS QUE HAN APROVAT LA GESTIÓ MUNICIPAL EN ELS SEGÜENTS ASPECTES;BICING;44,0 37,9 46,2 35,4 34,4 28,0 42,2 39,4 30,9 38,3
(P8C) UTILITZA HABITUALMENT ELS SEGÜENTS SERVEIS MUNICIPALS?;BICING;21,0 19,7 22,8 15,3 32,8 17,6 13,1 11,7 12,0 20,6 39,7 I
(P8A.14) - PUNTUACIÓ DE LA GESTIÓ MUNICIPAL EN: BICING;;
