"","FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
"1",573905,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",27,12,2017,2,1,2018,4,"Les Corts",19,"les Corts",28,"Carrer","Europa",19,27349411,82317158,2.12993,41.38726,"WEB","IMMEDIATA"
"2",574326,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",1,12,2017,3,1,2018,3,"Sants-Montjuïc",13,"la Marina de Port",34,"Carrer","Alts Forns",61,28227701,79147678,2.14081,41.35879,"MÒBIL","EMAIL"
"3",574578,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",1,12,2017,3,1,2018,7,"Horta-Guinardó",36,"la Font d'en Fargues",55,"Carrer","Can Pujolet",5,30219889,86707208,2.16375,41.42705,"TELÈFON","CARTA"
"4",574589,"INCIDENCIA","Mobilitat","Bicicletes","Aparcament bicicletes incidències",1,12,2017,3,1,2018,7,"Horta-Guinardó",36,"la Font d'en Fargues",55,"Carrer","Can Pujolet",5,30219889,86707208,2.16375,41.42705,"TELÈFON","EMAIL"
"5",574327,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",12,12,2017,3,1,2018,3,"Sants-Montjuïc",16,"la Bordeta",61,"Carrer","Corral",36,28088961,80264636,2.13902,41.36884,"TELÈFON","IMMEDIATA"
"6",574329,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",18,12,2017,3,1,2018,3,"Sants-Montjuïc",16,"la Bordeta",61,"Carrer","Corral",36,28088961,80264636,2.13902,41.36884,"TELÈFON","EMAIL"
"7",574330,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",19,12,2017,3,1,2018,3,"Sants-Montjuïc",18,"Sants",109,"Carrer","Béthencourt",12,27935950,81404952,2.13705,41.37909,"WEB","IMMEDIATA"
"8",574376,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici pintura / senyalització",3,1,2018,3,1,2018,3,"Sants-Montjuïc",15,"Hostafrancs",55,"Carrer","Moianès",36,28387528,80663496,2.14254,41.37246,"WEB","EMAIL"
"9",575043,"INCIDENCIA","Mobilitat","Bicicletes","Aparcament bicicletes incidències",3,1,2018,5,1,2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample",143,"Carrer","Consell de Cent",160,29479446,81850399,2.15546,41.38324,"TELÈFON","NO VOL RESPOSTA"
"10",575502,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",14,11,2017,8,1,2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",49,"Carrer","Sardenya",102,32145143,82910916,2.18722,41.39302,"WEB","EMAIL"
"11",575477,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",14,11,2017,8,1,2018,10,"Sant Martí",70,"el Besòs i el Maresme",93,"Carrer","Josep Pla",40,34404478,84831979,2.21403,41.41051,"TELÈFON","EMAIL"
"12",575450,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",14,11,2017,8,1,2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",15,"Carrer","Escòcia",85,31514090,86863786,2.17922,41.42857,"TELÈFON","EMAIL"
"13",575556,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",15,11,2017,8,1,2018,3,"Sants-Montjuïc",18,"Sants",89,"Carrer","Joan Güell",60,27624249,81410500,2.13332,41.37912,"TELÈFON","EMAIL"
"14",575726,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",16,11,2017,8,1,2018,10,"Sant Martí",68,"el Poblenou",56,"Carrer","Àvila",60,32869196,83319178,2.19583,41.39676,"TELÈFON","EMAIL"
"15",575747,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",16,11,2017,8,1,2018,7,"Horta-Guinardó",36,"la Font d'en Fargues",53,"Davallada","Gallecs",1,30570391,86643752,2.16795,41.42651,"TELÈFON","CARTA"
"16",575787,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",16,11,2017,8,1,2018,8,"Nou Barris",46,"el Turó de la Peira",45,"Carrer","Cadí",6,30527764,87129879,2.16739,41.43088,"TELÈFON","EMAIL"
