"","FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
"1",250580,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",23,12,2015,7,1,2016,9,"Sant Andreu",60,"Sant Andreu",29,"Passeig","Torras i Bages",78,432430.5179,4587882.468,2.191177252,41.43967276,"WEB","EMAIL"
"2",250364,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",23,12,2015,7,1,2016,3,"Sants-Montjuïc",16,"la Bordeta",62,"Carrer","Jocs Florals",149,427781.037,4580290.059,2.136433666,41.37088641,"MÒBIL","EMAIL"
"3",250594,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",23,12,2015,7,1,2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Pas","Sota Muralla",1,431655.3475,4581403.073,2.182631021,41.38124934,"WEB","EMAIL"
"4",250847,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",23,10,2015,8,1,2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"Avinguda","Diagonal",439,428958.8412,4582836.665,2.150217332,41.39392761,"WEB","EMAIL"
"5",250755,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",30,12,2015,8,1,2016,7,"Horta-Guinardó",37,"el Carmel",74,"Carrer","Pantà de Tremp",28,429350.5813,4586332.933,2.154494573,41.42545166,"TELÈFON","IMMEDIATA"
"6",250996,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",4,1,2016,8,1,2016,4,"Les Corts",19,"les Corts",6,"Carrer","Caballero",10,427579.4372,4581539.322,2.133874016,41.38211994,"WEB","EMAIL"
"7",251568,"INCIDENCIA","Mobilitat","Bicicletes","Registre bicicletes incidència tramitació",8,12,2015,11,1,2016,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"8",251632,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",10,12,2015,11,1,2016,10,"Sant Martí",72,"Sant Martí de Provençals",112,"Rambla","Guipúscoa",29,432707.8554,4585129.398,2.194803161,41.41490004,"MÒBIL","EMAIL"
"9",251574,"INCIDENCIA","Mobilitat","Bicicletes","Registre bicicletes incidència tramitació",11,12,2015,11,1,2016,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"TELÈFON","SMS"
"10",251577,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",17,12,2015,11,1,2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",43,"Carrer","Pujades",94,432590.2605,4583052.724,2.193627482,41.39618618,"WEB","EMAIL"
