Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripci¢ dia setmana,Dia setmana,Descripci¢ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripci¢ causa vianant,tipus de vehicle,Descripci¢ model,Descripci¢ marca,Descripci¢ color,Descripci¢ carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2014S008633,5,Sarri…-Sant Gervasi,26,Sant Gervasi - Galvany,8501,Alfons XII,0076 0076,Dilluns,Dl,Laboral,2014,11,Novembre,24,16,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583762,06","428830,81"
2014S007290,2,Eixample,6,la Sagrada Fam¡lia,268003,Proven‡a,0528 0528,Divendres,Dv,Laboral,2014,10,Octubre,10,8,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4584528,29","431453,12"
2014S007338,10,Sant Mart¡,64,el Camp de l'Arpa del Clot,161101,Independ_ncia,0314 0314,Dissabte,Ds,Laboral,2014,10,Octubre,11,12,No ‚s causa del  vianant,Bicicleta,Desconegut,CONOR,Negre,Desconegut,Desconegut,"4584780,19","431634,77"
2014S008907,2,Eixample,9,la Nova Esquerra de l'Eixample,87009,Comte Borrell,0156 0156,Dimecres,Dc,Laboral,2014,12,Desembre,3,20,No ‚s causa del  vianant,Bicicleta,Desconegut,BH,Blau,Desconegut,Desconegut,"4581859,35","429435,52"
2014S003763,2,Eixample,8,l'Antiga Esquerra de l'Eixample,268003,Proven‡a,0211 0211,Dijous,Dj,Laboral,2014,5,Maig,22,16,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4582864,42","429716,6"
2014S006734,3,Sants-Montju‹c,17,Sants - Badal,282252,Blanca,0123 0123,Divendres,Dv,Laboral,2014,9,Setembre,19,16,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4580561,61","427162,66"
2014S009035,3,Sants-Montju‹c,18,Sants,48404,Brasil,0058 0060,Dimarts,Dm,Laboral,2014,12,Desembre,9,15,No ‚s causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Blanc,Desconegut,Desconegut,"4581433,58","427304,28"
2014S008464,6,Gr…cia,31,la Vila de Gr…cia,148307,Gr…cia,0109 0111,Dimarts,Dm,Laboral,2014,11,Novembre,18,14,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583347,97","429764,77"
2014S003491,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,0664 0668,Dilluns,Dl,Laboral,2014,5,Maig,12,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Marr¢,Desconegut,Desconegut,"4582761,25","430835,03"
2014S003495,10,Sant Mart¡,64,el Camp de l'Arpa del Clot,346402,Trinxant,0014 0014,Dilluns,Dl,Laboral,2014,5,Maig,12,22,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4585245,88","432108,45"
2014S007110,5,Sarri…-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0622 0622,Divendres,Dv,Laboral,2014,10,Octubre,3,14,No ‚s causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"4582836,43","428197,14"
2014S008595,7,Horta-Guinard¢,34,Can Bar¢,238104,Pablo S ez de Bar‚s,0003 0003,Dissabte,Ds,Laboral,2014,11,Novembre,22,17,No ‚s causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"4585326,58","429968,36"
2014S008210,2,Eixample,5,el Fort Pienc,197302,Marina,0157 0167,Dissabte,Ds,Laboral,2014,11,Novembre,8,20,No ‚s causa del  vianant,Bicicleta,Desconegut,BH,Rosa,Desconegut,Desconegut,"4583534,4","431671,35"
2014S008218,5,Sarri…-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,0075 0075,Diumenge,Dg,Laboral,2014,11,Novembre,9,11,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4585541,36","427372,4"
2014S009176,10,Sant Mart¡,71,Proven‡als del Poblenou,322608,Selva de Mar,0167S0167S,Dissabte,Ds,Laboral,2014,12,Desembre,13,13,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4585234,25","433407,28"
2014S008737,5,Sarri…-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0630B0630B,Dijous,Dj,Laboral,2014,11,Novembre,27,21,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582780,48","428027,76"
2014S002961,7,Horta-Guinard¢,35,el Guinard¢,364506,Vinyals,0046 0048,Dimecres,Dc,Laboral,2014,4,Abril,23,9,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"4585996,65","431113,89"
2014S000316,2,Eixample,7,la Dreta de l'Eixample,100800,Diputaci¢,0253 0253,Dimecres,Dc,Laboral,2014,1,Gener,15,10,No ‚s causa del  vianant,Bicicleta,Desconegut,BTM,Gris,Desconegut,Desconegut,"4582503,23","430306,44"
2014S008240,10,Sant Mart¡,67,la Vila Ol¡mpica del Poblenou,197302,Marina,0037 0037,Dilluns,Dl,Laboral,2014,11,Novembre,10,9,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582651,35","432532,33"
2014S001549,7,Horta-Guinard¢,37,el Carmel,40800,Bernat Bransi,0060 0062,Dissabte,Ds,Laboral,2014,3,Mar‡,1,10,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4586387,48","429297,12"
2014S004137,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,0015 0015,Dijous,Dj,Laboral,2014,6,Juny,5,14,Desobeir el senyal del sem…for,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4581811,6","431889,67"
2014S008689,4,Les Corts,19,les Corts,66508,Carles III,0046 0046,Dimecres,Dc,Laboral,2014,11,Novembre,26,8,No ‚s causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"4581832,85","427205,09"
2014S008562,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,0688 0688,Divendres,Dv,Laboral,2014,11,Novembre,21,15,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582939,86","431017,53"
2014S002562,3,Sants-Montju‹c,18,Sants,312400,Sants,0154 0154,Diumenge,Dg,Laboral,2014,4,Abril,6,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4581014,38","427637,87"
2014S002814,2,Eixample,6,la Sagrada Fam¡lia,268003,Proven‡a,0461 0461,Dilluns,Dl,Laboral,2014,4,Abril,14,20,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4584306,78","431187,04"
2014S000805,2,Eixample,7,la Dreta de l'Eixample,232902,Urquinaona,0012 0013,Dilluns,Dl,Laboral,2014,2,Febrer,3,10,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4582425,04","430908,25"
