Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S004932    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,0525 0525,Dimecres,Dc,Laboral,2016,6,Juny,22,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429743,82","4581765,29",2.158619,41.382499
2016S005265    ,3,Sants-Montjuﾌ,11,el Poble Sec,198804,Paral裔lel,0135 0137,Dimarts,Dm,Laboral,2016,7,Juliol,5,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429754,82","4580911,18",2.15885,41.374808
2016S001453    ,3,Sants-Montjuﾌ,11,el Poble Sec,198804,Paral裔lel,0135 0137,Dimecres,Dc,Laboral,2016,2,Febrer,24,15,Desobeir el senyal del semﾌﾊfor,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"429754,82","4580911,18",2.15885,41.374808
2016S010110    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0057 0057,Divendres,Dv,Laboral,2016,12,Desembre,30,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"429756,53","4581683,82",2.158784,41.381761
2016S008340    ,2,Eixample,7,la Dreta de l'Eixample,32700,Balmes,0108 0108,Dimarts,Dm,Laboral,2016,11,Novembre,1,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"429766,09","4582863,34",2.158767,41.39239
2016S004987    ,2,Eixample,7,la Dreta de l'Eixample,32700,Balmes,0108 0108,Dissabte,Ds,Laboral,2016,6,Juny,25,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"429766,09","4582863,34",2.158767,41.39239
2016S009208    ,2,Eixample,7,la Dreta de l'Eixample,268003,Provenﾌ､a,0256 0256,Dimecres,Dc,Laboral,2016,11,Novembre,30,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429773,98","4582887,13",2.158848,41.392607
2016S005764    ,2,Eixample,10,Sant Antoni,54509,Calﾌﾊbria,0031 0031,Divendres,Dv,Laboral,2016,7,Juliol,22,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DECATHLON,Gris,Desconegut,Desconegut,"429775,04","4581098,03",2.159079,41.376494
2016S004908    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0524 0526,Dimecres,Dc,Laboral,2016,6,Juny,22,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,PEUGEOT,Vermell,Desconegut,Desconegut,"429785,95","4581734,53",2.159125,41.382223
2016S000905    ,3,Sants-Montjuﾌ,11,el Poble Sec,116402,Estadi,0071 0071,Dijous,Dj,Laboral,2016,2,Febrer,4,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429786,31","4580128,09",2.159323,41.367759
2016S009760    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0530 0530,Dilluns,Dl,Laboral,2016,12,Desembre,19,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429792,79","4581741,22",2.159208,41.382287
2016S007103    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputaciﾌ_,0167 0169,Dilluns,Dl,Laboral,2016,9,Setembre,19,2,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429793,53","4582000,65",2.15919,41.38462
2016S007661    ,3,Sants-Montjuﾌ,11,el Poble Sec,116402,Estadi,0075 0075,Dissabte,Ds,Laboral,2016,10,Octubre,8,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429801,32","4580168,98",2.159498,41.36812
2016S005715    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,110304,Enric Granados,0039 0039,Dimecres,Dc,Laboral,2016,7,Juliol,20,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"429806,1","4582596,53",2.159276,41.389989
2016S003826    ,2,Eixample,10,Sant Antoni,323203,Sepﾌｼlveda,0138B0138B,Dimecres,Dc,Laboral,2016,5,Maig,18,22,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429826,92","4581588,28",2.159632,41.380912
2016S004412    ,2,Eixample,7,la Dreta de l'Eixample,359404,Joan Carles I,9999 9999,Dimarts,Dm,Laboral,2016,6,Juny,7,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"429831,27","4583317,43",2.159492,41.396485
2016S005367    ,2,Eixample,7,la Dreta de l'Eixample,359404,Joan Carles I,9999 9999,Divendres,Dv,Laboral,2016,7,Juliol,8,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,KTM,Negre,Desconegut,16,"429831,27","4583317,43",2.159492,41.396485
2016S009536    ,2,Eixample,7,la Dreta de l'Eixample,148307,Grﾌﾊcia,0107 0107,Dilluns,Dl,Laboral,2016,12,Desembre,12,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"429832,52","4583274,67",2.159508,41.396098
2016S000668    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputaciﾌ_,0171 0173,Dimecres,Dc,Laboral,2016,1,Gener,27,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429838,68","4582045,22",2.159723,41.385029
2016S004733    ,2,Eixample,7,la Dreta de l'Eixample,268003,Provenﾌ､a,0270 0272,Divendres,Dv,Laboral,2016,6,Juny,17,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,CONOR,Vermell,Desconegut,Desconegut,"429852,61","4582964,49",2.159784,41.393307
2016S009488    ,3,Sants-Montjuﾌ,11,el Poble Sec,86301,Concﾌ_rdia,0028 0028,Dissabte,Ds,Laboral,2016,12,Desembre,10,13,Creuar per fora pas de vianants,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"429869,41","4580776,06",2.16024,41.373602
2016S006516    ,2,Eixample,10,Sant Antoni,87009,Comte Borrell,0091 0093,Divendres,Dv,Laboral,2016,8,Agost,26,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Gris,Desconegut,Desconegut,"429870,48","4581383,19",2.160182,41.379069
2016S004214    ,3,Sants-Montjuﾌ,11,el Poble Sec,273400,Radas,0034 0036,Dimecres,Dc,Laboral,2016,6,Juny,1,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429883,73","4580649,14",2.160423,41.372459
2016S004004    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,350308,Valﾌｬncia,0234 0234,Dilluns,Dl,Laboral,2016,5,Maig,30,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429888,76","4582625,35",2.160253,41.390257
2016S008711    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0029 0029,Dissabte,Ds,Laboral,2016,11,Novembre,12,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429891,42","4581546,12",2.160414,41.380539
2016S008711    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0029 0029,Dissabte,Ds,Laboral,2016,11,Novembre,12,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429891,42","4581546,12",2.160414,41.380539
