Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S000596    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",358059,Via Lﾌﾊctia,0012 0012,Diumenge,Dg,Laboral,2016,1,Gener,24,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"424974,51","4587061,56",2.100933,41.429766
2016S002992    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",320908,Sarriﾌﾊ a Vallvidrera,0227 0227,Dimecres,Dc,Laboral,2016,4,Abril,20,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"425209,33","4584831,94",2.104021,41.409704
2016S003444    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",90400,Alberes,0055B0055B,Dijous,Dj,Laboral,2016,5,Maig,5,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,B,32,"425601,41","4585416,99",2.108638,41.415009
2016S009726    ,4,Les Corts,21,Pedralbes,333400,Gonzﾌﾁlez Tablas,0002 0002,Dissabte,Ds,Laboral,2016,12,Desembre,17,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"425749,23","4582079,74",2.110819,41.384968
2016S005380    ,4,Les Corts,20,la Maternitat i Sant Ramon,700945,Josep Sunyol i Garriga,0009U0009U,Dissabte,Ds,Laboral,2016,7,Juliol,9,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"425772,22","4581195,87",2.111202,41.377008
2016S000269    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,175478,K Zona Franca,0032 0032,Dimecres,Dc,Laboral,2016,1,Gener,13,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Blau,Desconegut,Desconegut,"425800,17","4576580,82",2.112102,41.335445
2016S002783    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,700127,Major de Mercabarna,0068 0068,Dimecres,Dc,Laboral,2016,4,Abril,13,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"426026,6","4576056,67",2.114866,41.330747
2016S006612    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,215302,Monestir,0012 0012,Dimarts,Dm,Laboral,2016,8,Agost,30,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"426090,59","4583447,36",2.11473,41.39732
2016S006612    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,215302,Monestir,0012 0012,Dimarts,Dm,Laboral,2016,8,Agost,30,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"426090,59","4583447,36",2.11473,41.39732
2016S007738    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,0645 0645,Dimarts,Dm,Laboral,2016,10,Octubre,11,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DECATHLON,Gris,Desconegut,Desconegut,"426268,48","4582116,12",2.117021,41.385349
2016S003975    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,701489,Transversal 9,0030 0030,Dimarts,Dm,Laboral,2016,5,Maig,24,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BH,Negre,Desconegut,Desconegut,"426285,53","4575926,05",2.117977,41.329599
2016S004147    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,700133,Transversal 5,0009 0009,Dilluns,Dl,Laboral,2016,5,Maig,30,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"426287,83","4576290,2",2.117957,41.332878
2016S000516    ,4,Les Corts,21,Pedralbes,359200,Pedralbes,0042B0042B,Dijous,Dj,Laboral,2016,1,Gener,21,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,426288,"4582813,29",2.117175,41.391628
2016S005006    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",335654,Vallvidrera al Tibidabo,140000,Diumenge,Dg,Laboral,2016,6,Juny,26,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Groc,Desconegut,Desconegut,"426300,72","4585774,79",2.116958,41.418298
2016S009806    ,4,Les Corts,20,la Maternitat i Sant Ramon,247750,Pau Gargallo,0021 0021,Dimarts,Dm,Laboral,2016,12,Desembre,20,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BH,Gris,Desconegut,Desconegut,"426304,89","4581988,58",2.117467,41.384199
2016S005452    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,0643 0643,Dimarts,Dm,Laboral,2016,7,Juliol,12,8,No ﾌｩs causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Blanc,Desconegut,Desconegut,"426498,61","4582192,05",2.119762,41.386054
2016S003393    ,4,Les Corts,20,la Maternitat i Sant Ramon,244300,Pius XII,0005 0005,Dimecres,Dc,Laboral,2016,5,Maig,4,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"426715,39","4582243,39",2.122351,41.386534
2016S000294    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,44709,Bonanova,0104 0106,Dimecres,Dc,Laboral,2016,1,Gener,13,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"426743,08","4583808,88",2.122496,41.400631
2016S000266    ,4,Les Corts,21,Pedralbes,244300,Pius XII,0002X0002X,Dimarts,Dm,Laboral,2016,1,Gener,12,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"426779,13","4582389,21",2.123099,41.387854
2016S004628    ,4,Les Corts,21,Pedralbes,244300,Pius XII,0002X0002X,Dimarts,Dm,Laboral,2016,6,Juny,14,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DECATHLON,Negre,Desconegut,Desconegut,"426779,13","4582389,21",2.123099,41.387854
2016S004085    ,4,Les Corts,21,Pedralbes,193108,Manuel Girona,0032X0032X,Divendres,Dv,Laboral,2016,5,Maig,27,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"426796,91","4582716,52",2.123263,41.390801
2016S005062    ,3,Sants-Montjuﾌ,17,Sants - Badal,282252,Blanca,0027 0027,Dimarts,Dm,Laboral,2016,6,Juny,28,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BH,Vermell,Desconegut,Desconegut,"426799,32","4580933,65",2.123514,41.374743
2016S003356    ,4,Les Corts,20,la Maternitat i Sant Ramon,103604,Doctor Salvador Cardenal,0002 0006,Dilluns,Dl,Laboral,2016,5,Maig,2,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"426809,73","4582127,52",2.123489,41.385497
2016S002643    ,3,Sants-Montjuﾌ,17,Sants - Badal,312400,Sants,0346 0348,Dijous,Dj,Laboral,2016,4,Abril,7,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"426817,24","4581045,21",2.123716,41.375753
2016S004599    ,-1,Desconegut,-1,Desconegut,-1,MATERNITAT                                        ,1,Dilluns,Dl,Laboral,2016,6,Juny,13,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,426849.39,4581793.48,2.124013,41.382497
2016S002230    ,4,Les Corts,20,la Maternitat i Sant Ramon,121708,Felipe de Paz,0021 0023,Diumenge,Dg,Laboral,2016,3,Marﾌ､,20,22,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"426948,39","4581383,33",2.125241,41.378809
2016S005905    ,4,Les Corts,20,la Maternitat i Sant Ramon,84703,Comandant Benﾌ_tez,0030 0030,Dimecres,Dc,Laboral,2016,7,Juliol,27,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427001,89","4581577,89",2.125852,41.380561
2016S009164    ,4,Les Corts,21,Pedralbes,144601,Diagonal,0668 0668,Dilluns,Dl,Laboral,2016,11,Novembre,28,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"427052,13","4582458,24",2.126355,41.388501
2016S003173    ,4,Les Corts,21,Pedralbes,62507,Capitﾌﾊ Arenas,0014 0014,Dimarts,Dm,Laboral,2016,4,Abril,26,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427063,76","4582595,19",2.12647,41.389735
2016S004148    ,4,Les Corts,19,les Corts,118306,Europa,0002 0006,Dilluns,Dl,Laboral,2016,5,Maig,30,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427162,25","4582228,33",2.127699,41.386439
2016S003241    ,4,Les Corts,19,les Corts,66508,Carles III,0116 0120,Dijous,Dj,Laboral,2016,4,Abril,28,22,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,PEUGEOT,Verd,Desconegut,Desconegut,"427196,74","4582531,25",2.128069,41.389171
2016S010020    ,4,Les Corts,19,les Corts,66508,Carles III,0116 0120,Dimarts,Dm,Laboral,2016,12,Desembre,27,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Altres,Desconegut,Desconegut,"427196,74","4582531,25",2.128069,41.389171
2016S005889    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,305201,Sant Joan Bosco,0039X0039X,Dimecres,Dc,Laboral,2016,7,Juliol,27,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"427198,33","4583057,78",2.128029,41.393909
2016S005228    ,4,Les Corts,19,les Corts,66508,Carles III,0030 0036,Dilluns,Dl,Laboral,2016,7,Juliol,4,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"427236,85","4581702,77",2.128647,41.381708
2016S005468    ,3,Sants-Montjuﾌ,17,Sants - Badal,286402,Roger,0069 0069,Dimarts,Dm,Laboral,2016,7,Juliol,12,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,SUPER EUROPA,Altres,Desconegut,Desconegut,"427284,54","4581274,56",2.129272,41.377858
2016S005773    ,3,Sants-Montjuﾌ,17,Sants - Badal,210808,Miquel ﾌﾛngel,0103 0103,Divendres,Dv,Laboral,2016,7,Juliol,22,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427311,96","4581159,46",2.129609,41.376824
2016S009549    ,3,Sants-Montjuﾌ,18,Sants,48404,Brasil,0044 0044,Dilluns,Dl,Laboral,2016,12,Desembre,12,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427326,71","4581329,37",2.129768,41.378357
2016S009425    ,3,Sants-Montjuﾌ,17,Sants - Badal,312400,Sants,0275 0275,Dimecres,Dc,Laboral,2016,12,Desembre,7,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"427331,22",4581001,2.129867,41.375403
2016S005675    ,4,Les Corts,19,les Corts,84907,Comas,0011 0012,Dimarts,Dm,Laboral,2016,7,Juliol,19,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427379,01","4582107,4",2.130308,41.385369
2016S005967    ,4,Les Corts,19,les Corts,84907,Comas,0011 0012,Divendres,Dv,Laboral,2016,7,Juliol,29,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"427379,01","4582107,4",2.130308,41.385369
2016S000229    ,3,Sants-Montjuﾌ,17,Sants - Badal,30602,Badal,0157 0159,Dilluns,Dl,Laboral,2016,1,Gener,11,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Taronja,Llicﾌｬncia,16,"427380,6","4580912,47",2.130464,41.374606
2016S006782    ,3,Sants-Montjuﾌ,18,Sants,30602,Badal,0188 0188,Dimarts,Dm,Laboral,2016,9,Setembre,6,22,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"427421,07","4580922,03",2.130953,41.3747
2016S009169    ,4,Les Corts,19,les Corts,172403,Joan Gﾌ_ell,0175X0175X,Dimarts,Dm,Laboral,2016,11,Novembre,29,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Altres,Desconegut,Desconegut,"427428,83","4581926,4",2.130916,41.383743
2016S007413    ,4,Les Corts,19,les Corts,172403,Joan Gﾌ_ell,0144 0148,Dijous,Dj,Laboral,2016,9,Setembre,29,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427478,1","4581846,68",2.131524,41.383027
2016S007188    ,4,Les Corts,19,les Corts,172403,Joan Gﾌ_ell,0098 0106,Dimecres,Dc,Laboral,2016,9,Setembre,21,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427546,25","4581641,98",2.132361,41.381187
2016S007900    ,4,Les Corts,19,les Corts,144601,Diagonal,0579 0587,Dilluns,Dl,Laboral,2016,10,Octubre,17,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427556,27","4582525,23",2.132375,41.38915
2016S002911    ,4,Les Corts,19,les Corts,231502,Numﾌﾊncia,0173 0173,Diumenge,Dg,Laboral,2016,4,Abril,17,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"427581,62","4582517,89",2.132675,41.38908
2016S002140    ,3,Sants-Montjuﾌ,18,Sants,210808,Miquel ﾌﾛngel,0053 0053,Dijous,Dj,Laboral,2016,3,Marﾌ､,17,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427611,31","4581248,54",2.133185,41.377653
2016S005048    ,3,Sants-Montjuﾌ,18,Sants,187207,Madrid,0198 0198,Dimarts,Dm,Laboral,2016,6,Juny,28,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427635,21","4581614,49",2.133429,41.380952
2016S004067    ,3,Sants-Montjuﾌ,18,Sants,98005,Daoﾌ_z i Velarde,0001 0001,Divendres,Dv,Laboral,2016,5,Maig,27,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"427656,12","4580881,4",2.133767,41.374352
2016S007685    ,3,Sants-Montjuﾌ,16,la Bordeta,30602,Badal,0040 0044,Diumenge,Dg,Laboral,2016,10,Octubre,9,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"427678,14","4580109,38",2.134123,41.367401
2016S003679    ,3,Sants-Montjuﾌ,18,Sants,138802,Galileu,0087 0087,Divendres,Dv,Laboral,2016,5,Maig,13,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"427754,45","4581303,89",2.134889,41.378161
2016S008026    ,3,Sants-Montjuﾌ,18,Sants,312400,Sants,0112X0112X,Divendres,Dv,Laboral,2016,10,Octubre,21,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"427782,42","4581008,71",2.135259,41.375507
2016S001219    ,4,Les Corts,19,les Corts,118703,Evarist Arnﾌｼs,0057X0057X,Dilluns,Dl,Laboral,2016,2,Febrer,15,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"427783,59","4581885,82",2.135166,41.383406
2016S003835    ,3,Sants-Montjuﾌ,16,la Bordeta,244901,Parcerisa,0050 0050,Dijous,Dj,Laboral,2016,5,Maig,19,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"427799,55","4579897,56",2.135595,41.365502
2016S002998    ,3,Sants-Montjuﾌ,18,Sants,312400,Sants,0091 0091,Dimecres,Dc,Laboral,2016,4,Abril,20,14,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"427845,7","4580983,2",2.136015,41.375287
2016S005786    ,3,Sants-Montjuﾌ,13,la Marina de Port,212406,Mineria,0002B0002B,Divendres,Dv,Laboral,2016,7,Juliol,22,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"427900,01","4579692,41",2.136826,41.363665
2016S001001    ,3,Sants-Montjuﾌ,16,la Bordeta,244901,Parcerisa,0040 0040,Dilluns,Dl,Laboral,2016,2,Febrer,8,7,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"427903,56","4580052,7",2.136819,41.366907
2016S007004    ,3,Sants-Montjuﾌ,13,la Marina de Port,369408,Zona Franca,0244 0244,Dijous,Dj,Laboral,2016,9,Setembre,15,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DECATHLON,Negre,Desconegut,Desconegut,"427904,51","4579673,52",2.136876,41.363494
2016S004159    ,4,Les Corts,19,les Corts,144601,Diagonal,0632 0632,Dilluns,Dl,Laboral,2016,5,Maig,30,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"427949,64","4582755,79",2.137048,41.391256
2016S010114    ,3,Sants-Montjuﾌ,16,la Bordeta,235208,Olzinelles,0120 0120,Divendres,Dv,Laboral,2016,12,Desembre,30,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427976,95","4580409,23",2.13765,41.370129
2016S002825    ,4,Les Corts,19,les Corts,231502,Numﾌﾊncia,0080 0082,Dijous,Dj,Laboral,2016,4,Abril,14,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427977,61","4582049,79",2.137467,41.3849
2016S005358    ,4,Les Corts,19,les Corts,231502,Numﾌﾊncia,0080 0082,Divendres,Dv,Laboral,2016,7,Juliol,8,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"427977,61","4582049,79",2.137467,41.3849
2016S007773    ,3,Sants-Montjuﾌ,13,la Marina de Port,369408,Zona Franca,0210 0214,Dijous,Dj,Laboral,2016,10,Octubre,13,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Altres,Desconegut,Desconegut,"427991,25","4579511,02",2.137936,41.362043
2016S006877    ,3,Sants-Montjuﾌ,13,la Marina de Port,369408,Zona Franca,0210 0214,Dissabte,Ds,Laboral,2016,9,Setembre,10,8,No ﾌｩs causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Negre,Desconegut,Desconegut,"427991,25","4579511,02",2.137936,41.362043
2016S010068    ,4,Les Corts,19,les Corts,231502,Numﾌﾊncia,0072 0074,Dijous,Dj,Laboral,2016,12,Desembre,29,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"428005,94","4582013,01",2.137806,41.384579
2016S004029    ,3,Sants-Montjuﾌ,18,Sants,285104,Robrenyo,0039 0039,Dijous,Dj,Laboral,2016,5,Maig,26,7,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"428030,12","4581702,64",2.138142,41.38178
2016S003243    ,3,Sants-Montjuﾌ,13,la Marina de Port,369408,Zona Franca,0138 0138,Divendres,Dv,Laboral,2016,4,Abril,29,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Blanc,Desconegut,Desconegut,"428189,17","4579140,4",2.140347,41.358719
2016S003100    ,3,Sants-Montjuﾌ,13,la Marina de Port,369408,Zona Franca,0136 0136,Dissabte,Ds,Laboral,2016,4,Abril,23,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428217,45","4579087,99",2.140688,41.358244
2016S005072    ,3,Sants-Montjuﾌ,16,la Bordeta,142402,Gavﾌﾊ,0034 0034,Dimarts,Dm,Laboral,2016,6,Juny,28,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"428237,5","4580589,17",2.140749,41.371774
2016S006308    ,4,Les Corts,19,les Corts,110803,Entenﾌ､a,0250 0250,Diumenge,Dg,Laboral,2016,8,Agost,14,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Altres,Desconegut,Desconegut,"428268,68","4582302,85",2.140917,41.387205
2016S007996    ,3,Sants-Montjuﾌ,18,Sants,366206,Viriat,0030X0030X,Dijous,Dj,Laboral,2016,10,Octubre,20,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428272,69","4581542,83",2.141055,41.38036
2016S001318    ,4,Les Corts,19,les Corts,102452,Doctor Ignasi Barraquer,0009 0009,Divendres,Dv,Laboral,2016,2,Febrer,19,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,CONOR,Negre,Desconegut,Desconegut,"428283,35","4582685,23",2.141051,41.390656
2016S003252    ,3,Sants-Montjuﾌ,15,Hostafrancs,94809,Creu Coberta,0118 0118,Divendres,Dv,Laboral,2016,4,Abril,29,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428296,07","4580990,31",2.141407,41.375391
2016S000813    ,3,Sants-Montjuﾌ,18,Sants,366206,Viriat,0053 0053,Dilluns,Dl,Laboral,2016,2,Febrer,1,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BH,Negre,Desconegut,Desconegut,"428306,42","4581588,87",2.141456,41.380778
2016S010042    ,3,Sants-Montjuﾌ,16,la Bordeta,142402,Gavﾌﾊ,0002 0002,Dimecres,Dc,Laboral,2016,12,Desembre,28,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"428325,15","4580664,76",2.141792,41.372457
2016S006038    ,3,Sants-Montjuﾌ,16,la Bordeta,222603,Moianﾌｬs,0001 0011,Dilluns,Dl,Laboral,2016,8,Agost,1,23,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428362,54","4580439,5",2.142261,41.370434
2016S006508    ,3,Sants-Montjuﾌ,15,Hostafrancs,287201,Roma,0002 0004,Dijous,Dj,Laboral,2016,8,Agost,25,23,No ﾌｩs causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Negre,Desconegut,Desconegut,"428382,83","4581471,81",2.142378,41.379731
2016S006585    ,3,Sants-Montjuﾌ,15,Hostafrancs,169409,Corts Catalanes,0249 0249,Dilluns,Dl,Laboral,2016,8,Agost,29,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428398,39","4580448,48",2.142691,41.370518
2016S006297    ,3,Sants-Montjuﾌ,15,Hostafrancs,169409,Corts Catalanes,0249 0249,Dissabte,Ds,Laboral,2016,8,Agost,13,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428398,39","4580448,48",2.142691,41.370518
2016S001768    ,3,Sants-Montjuﾌ,18,Sants,331507,Tarragona,0185X0185X,Divendres,Dv,Laboral,2016,3,Marﾌ､,4,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428399,57","4581545,29",2.142573,41.380399
2016S008477    ,3,Sants-Montjuﾌ,15,Hostafrancs,331507,Tarragona,0183 0183,Dilluns,Dl,Laboral,2016,11,Novembre,7,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"428423,27","4581481,21",2.142867,41.379824
2016S004702    ,3,Sants-Montjuﾌ,15,Hostafrancs,3803,ﾌﾛliga,0015 0017,Dijous,Dj,Laboral,2016,6,Juny,16,16,No ﾌｩs causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Blanc,Desconegut,Desconegut,"428450,05","4580795,13",2.143271,41.373648
2016S006894    ,3,Sants-Montjuﾌ,15,Hostafrancs,331507,Tarragona,0175 0175,Diumenge,Dg,Laboral,2016,9,Setembre,11,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"428452,9","4581450,89",2.143218,41.379548
2016S005113    ,3,Sants-Montjuﾌ,15,Hostafrancs,191204,Mallorca,0028U0028U,Dijous,Dj,Laboral,2016,6,Juny,30,10,No ﾌｩs causa del  vianant,Bicicleta,BFOLD 3,BTWIN,Negre,B,5,"428485,19","4581436,04",2.143614,41.379425
2016S004123    ,4,Les Corts,19,les Corts,144601,Diagonal,0485 0485,Diumenge,Dg,Laboral,2016,5,Maig,29,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428505,22","4582845,13",2.143687,41.392117
2016S002784    ,3,Sants-Montjuﾌ,15,Hostafrancs,119808,Farell,0001 0001,Dimecres,Dc,Laboral,2016,4,Abril,13,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428543,52","4580611,42",2.144405,41.371999
2016S002784    ,3,Sants-Montjuﾌ,15,Hostafrancs,119808,Farell,0001 0001,Dimecres,Dc,Laboral,2016,4,Abril,13,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"428543,52","4580611,42",2.144405,41.371999
2016S004379    ,3,Sants-Montjuﾌ,15,Hostafrancs,108700,Elisi,0031U0031U,Dilluns,Dl,Laboral,2016,6,Juny,6,0,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"428559,25","4581357,72",2.144508,41.37872
2016S000844    ,3,Sants-Montjuﾌ,13,la Marina de Port,230601,Mare de Dﾌｩu de Port,0100 0100,Dimarts,Dm,Laboral,2016,2,Febrer,2,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428565,7","4578876,89",2.144873,41.356375
2016S008696    ,3,Sants-Montjuﾌ,14,la Font de la Guatlla,169409,Corts Catalanes,0282 0282,Dissabte,Ds,Laboral,2016,11,Novembre,12,19,Altres,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"428594,3","4580567,63",2.14502,41.371607
