Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció causa vianant,tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2015S007470,1,Ciutat Vella,3,la Barceloneta,33305,Baluard,0084 0084,Dilluns,Dl,Laboral,2015,10,Octubre,5,18,No és causa del  vianant,Bicicleta,Desconegut,MONTY,Negre,Desconegut,Desconegut,"4581258,24","432332,66"
2015S008094,1,Ciutat Vella,2,el Barri Gòtic,283109,Ripoll,0020 0020,Dimecres,Dc,Laboral,2015,10,Octubre,28,13,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582081,10","431131,40"
2015S006256,2,Eixample,10,Sant Antoni,198804,Paral·lel,0186 0186,Dilluns,Dl,Laboral,2015,8,Agost,17,16,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Blau,Desconegut,Desconegut,"4580958,79","429295,25"
2015S003174,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",359109,Lluís Companys,0017 0017,Dilluns,Dl,Laboral,2015,4,Abril,27,8,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582664,44","431545,00"
2015S007703,2,Eixample,9,la Nova Esquerra de l'Eixample,285807,Rocafort,0256 0258,Dimecres,Dc,Laboral,2015,10,Octubre,14,9,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"4582271,19","428470,74"
2015S001162,2,Eixample,10,Sant Antoni,323203,Sepúlveda,0103 0103,Dissabte,Ds,Laboral,2015,2,Febrer,14,20,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4581501,97","429707,56"
2015S009032,2,Eixample,10,Sant Antoni,246000,Parlament,0057 0057,Dissabte,Ds,Laboral,2015,11,Novembre,28,5,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4581229,66","430186,96"
2015S005090,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0014 0014,Dijous,Dj,Laboral,2015,7,Juliol,2,16,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4581457,63","430022,32"
2015S002443,2,Eixample,10,Sant Antoni,323203,Sepúlveda,0175 0175,Dimarts,Dm,Laboral,2015,3,Març,31,21,No és causa del  vianant,Bicicleta,Desconegut,BH,Negre,Desconegut,Desconegut,"4581868,24","430081,98"
2015S000718,2,Eixample,9,la Nova Esquerra de l'Eixample,350308,València,0083 0083,Dijous,Dj,Laboral,2015,1,Gener,29,13,No és causa del  vianant,Bicicleta,Desconegut,ORBEA,Gris,Desconegut,Desconegut,"4582060,98","429282,55"
